epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.17854,1.2056,0.68153,1,0.88154,0.000405983,0.000405983,0.000405983
2,10.1984,0.74473,0.73248,1,0.68672,0.000806361,0.000806361,0.000806361
3,12.2778,0.5463,0.71975,1,0.73232,0.00119024,0.00119024,0.00119024
4,14.2652,0.53228,0.71338,1,0.74971,0.00117575,0.00117575,0.00117575
5,16.3359,0.45971,0.70701,1,0.79023,0.001151,0.001151,0.001151
6,18.27,0.42995,0.77707,1,0.66157,0.00112625,0.00112625,0.00112625
7,20.3785,0.39251,0.75796,1,0.62964,0.0011015,0.0011015,0.0011015
8,22.4454,0.36767,0.76433,1,0.64824,0.00107675,0.00107675,0.00107675
9,24.4481,0.37304,0.7707,1,0.66099,0.001052,0.001052,0.001052
10,26.5605,0.31222,0.76433,1,0.70671,0.00102725,0.00102725,0.00102725
11,28.6761,0.3543,0.79618,1,0.70938,0.0010025,0.0010025,0.0010025
12,30.7087,0.3062,0.78344,1,0.70229,0.00097775,0.00097775,0.00097775
13,32.7975,0.29761,0.76433,1,0.71377,0.000953,0.000953,0.000953
14,34.888,0.2828,0.78981,1,0.69136,0.00092825,0.00092825,0.00092825
15,36.8992,0.28675,0.78344,1,0.69663,0.0009035,0.0009035,0.0009035
16,38.95,0.26924,0.78344,1,0.67188,0.00087875,0.00087875,0.00087875
17,41.0801,0.26507,0.75159,1,0.69839,0.000854,0.000854,0.000854
18,43.0953,0.25944,0.73885,1,0.74541,0.00082925,0.00082925,0.00082925
19,45.1644,0.27465,0.73885,1,0.70049,0.0008045,0.0008045,0.0008045
20,47.2062,0.24483,0.7707,1,0.76436,0.00077975,0.00077975,0.00077975
21,49.213,0.25783,0.75796,1,0.70352,0.000755,0.000755,0.000755
22,51.2405,0.25178,0.76433,1,0.75923,0.00073025,0.00073025,0.00073025
23,53.2644,0.23637,0.76433,1,0.70713,0.0007055,0.0007055,0.0007055
24,55.2878,0.23968,0.77707,1,0.78496,0.00068075,0.00068075,0.00068075
25,57.286,0.23195,0.72611,1,0.78193,0.000656,0.000656,0.000656
26,59.2322,0.2084,0.77707,1,0.74985,0.00063125,0.00063125,0.00063125
27,61.2359,0.21566,0.74522,1,0.72705,0.0006065,0.0006065,0.0006065
28,63.1971,0.21434,0.7707,1,0.83301,0.00058175,0.00058175,0.00058175
29,65.3264,0.21196,0.74522,1,0.87559,0.000557,0.000557,0.000557
30,67.3061,0.21094,0.77707,1,0.81191,0.00053225,0.00053225,0.00053225
31,69.3414,0.20615,0.77707,1,0.77483,0.0005075,0.0005075,0.0005075
32,71.3578,0.21509,0.76433,1,0.73447,0.00048275,0.00048275,0.00048275
33,73.8588,0.19227,0.7707,1,0.73325,0.000458,0.000458,0.000458
34,75.9398,0.20152,0.75796,1,0.74438,0.00043325,0.00043325,0.00043325
35,78.0307,0.1877,0.75159,1,0.82563,0.0004085,0.0004085,0.0004085
36,79.9568,0.21612,0.74522,1,0.89482,0.00038375,0.00038375,0.00038375
37,81.9363,0.17823,0.75159,1,0.84375,0.000359,0.000359,0.000359
38,83.8136,0.18169,0.76433,1,0.91079,0.00033425,0.00033425,0.00033425
39,85.8342,0.187,0.74522,1,0.8145,0.0003095,0.0003095,0.0003095
40,87.8815,0.19152,0.75796,1,0.83018,0.00028475,0.00028475,0.00028475
41,129.831,0.18141,0.75796,1,0.79131,0.00026,0.00026,0.00026
42,131.992,0.18349,0.77707,1,0.76997,0.00023525,0.00023525,0.00023525
43,134.035,0.19097,0.75796,1,0.82026,0.0002105,0.0002105,0.0002105
44,136.095,0.19025,0.76433,1,0.80356,0.00018575,0.00018575,0.00018575
45,138.171,0.16414,0.74522,1,0.79482,0.000161,0.000161,0.000161
46,140.192,0.16163,0.73885,1,0.7895,0.00013625,0.00013625,0.00013625
47,142.358,0.18086,0.73885,1,0.82441,0.0001115,0.0001115,0.0001115
48,144.338,0.19929,0.75159,1,0.84475,8.675e-05,8.675e-05,8.675e-05
49,146.332,0.17937,0.74522,1,0.83418,6.2e-05,6.2e-05,6.2e-05
50,148.417,0.15977,0.75796,1,0.84287,3.725e-05,3.725e-05,3.725e-05
