epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.23153,1.21886,0.66242,1,0.84619,0.000405983,0.000405983,0.000405983
2,8.60272,0.74218,0.76433,1,0.56138,0.000806361,0.000806361,0.000806361
3,10.283,0.61259,0.82166,1,0.48389,0.00119024,0.00119024,0.00119024
4,11.9088,0.51943,0.76433,1,0.54551,0.00117575,0.00117575,0.00117575
5,13.5883,0.49409,0.80892,1,0.53491,0.001151,0.001151,0.001151
6,15.2242,0.50047,0.84713,1,0.40752,0.00112625,0.00112625,0.00112625
7,16.9762,0.41,0.80255,1,0.4668,0.0011015,0.0011015,0.0011015
8,18.5668,0.38583,0.83439,1,0.44014,0.00107675,0.00107675,0.00107675
9,20.1977,0.375,0.78981,1,0.56118,0.001052,0.001052,0.001052
10,21.8066,0.36401,0.82803,1,0.48872,0.00102725,0.00102725,0.00102725
11,23.4523,0.36281,0.80892,1,0.48081,0.0010025,0.0010025,0.0010025
12,25.0899,0.33732,0.82166,1,0.46855,0.00097775,0.00097775,0.00097775
13,26.7413,0.35526,0.82803,1,0.4656,0.000953,0.000953,0.000953
14,28.3311,0.27665,0.84076,1,0.47109,0.00092825,0.00092825,0.00092825
15,29.9527,0.32406,0.79618,1,0.50015,0.0009035,0.0009035,0.0009035
16,31.6253,0.29016,0.80255,1,0.47764,0.00087875,0.00087875,0.00087875
17,33.2103,0.3111,0.84713,1,0.42363,0.000854,0.000854,0.000854
18,34.9195,0.2779,0.82803,1,0.48843,0.00082925,0.00082925,0.00082925
19,36.5851,0.24992,0.81529,1,0.49751,0.0008045,0.0008045,0.0008045
20,38.2833,0.27869,0.82803,1,0.49871,0.00077975,0.00077975,0.00077975
21,40.0527,0.2509,0.82166,1,0.49792,0.000755,0.000755,0.000755
22,41.6898,0.22735,0.82803,1,0.50659,0.00073025,0.00073025,0.00073025
23,43.3376,0.27207,0.84076,1,0.58816,0.0007055,0.0007055,0.0007055
24,44.9691,0.2559,0.83439,1,0.61196,0.00068075,0.00068075,0.00068075
25,46.5693,0.25069,0.82166,1,0.52798,0.000656,0.000656,0.000656
26,48.2491,0.24215,0.84076,1,0.5126,0.00063125,0.00063125,0.00063125
27,49.9543,0.23036,0.84713,1,0.48047,0.0006065,0.0006065,0.0006065
28,51.6099,0.276,0.82803,1,0.52974,0.00058175,0.00058175,0.00058175
29,53.3008,0.22798,0.82166,1,0.52212,0.000557,0.000557,0.000557
30,55.0175,0.26085,0.82803,1,0.51108,0.00053225,0.00053225,0.00053225
31,56.6412,0.22188,0.82803,1,0.53918,0.0005075,0.0005075,0.0005075
32,58.2205,0.20656,0.82166,1,0.53711,0.00048275,0.00048275,0.00048275
33,59.8067,0.20555,0.84076,1,0.62051,0.000458,0.000458,0.000458
34,61.4284,0.22543,0.81529,1,0.60229,0.00043325,0.00043325,0.00043325
35,63.0284,0.18436,0.80892,1,0.52903,0.0004085,0.0004085,0.0004085
36,64.5945,0.20953,0.82803,1,0.57441,0.00038375,0.00038375,0.00038375
37,66.2237,0.20922,0.81529,1,0.55112,0.000359,0.000359,0.000359
38,67.8107,0.20508,0.83439,1,0.62744,0.00033425,0.00033425,0.00033425
39,69.3438,0.19521,0.80892,1,0.60718,0.0003095,0.0003095,0.0003095
40,70.9289,0.21596,0.82166,1,0.57139,0.00028475,0.00028475,0.00028475
41,93.319,0.2314,0.80892,1,0.57295,0.00026,0.00026,0.00026
42,95.0649,0.23102,0.84076,1,0.58218,0.00023525,0.00023525,0.00023525
43,96.7884,0.20595,0.82166,1,0.6012,0.0002105,0.0002105,0.0002105
44,98.3515,0.20229,0.82166,1,0.57744,0.00018575,0.00018575,0.00018575
45,99.9474,0.19207,0.82166,1,0.55459,0.000161,0.000161,0.000161
46,101.629,0.18159,0.80892,1,0.55908,0.00013625,0.00013625,0.00013625
47,103.25,0.20095,0.82803,1,0.5833,0.0001115,0.0001115,0.0001115
48,104.833,0.193,0.83439,1,0.59656,8.675e-05,8.675e-05,8.675e-05
49,106.565,0.19411,0.83439,1,0.59688,6.2e-05,6.2e-05,6.2e-05
50,108.193,0.18676,0.82803,1,0.58792,3.725e-05,3.725e-05,3.725e-05
